 ==================================================================
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> février 07, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lithium

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   6.715E-02  2.971E-05  785.20 um    32.92 um    15.71 um  
   5.50 MeV   6.221E-02  2.727E-05  929.96 um    38.97 um    18.49 um  
   6.00 MeV   5.801E-02  2.521E-05    1.09 mm    44.98 um    21.47 um  
   6.50 MeV   5.438E-02  2.345E-05    1.25 mm    51.01 um    24.64 um  
   7.00 MeV   5.122E-02  2.194E-05    1.43 mm    57.09 um    27.99 um  
   8.00 MeV   4.597E-02  1.944E-05    1.82 mm    79.42 um    35.28 um  
   9.00 MeV   4.176E-02  1.748E-05    2.24 mm   100.28 um    43.29 um  
  10.00 MeV   3.832E-02  1.588E-05    2.71 mm   120.67 um    52.03 um  
  11.00 MeV   3.545E-02  1.457E-05    3.22 mm   141.00 um    61.46 um  
  12.00 MeV   3.301E-02  1.346E-05    3.76 mm   161.47 um    71.59 um  
  13.00 MeV   3.091E-02  1.252E-05    4.35 mm   182.18 um    82.39 um  
  14.00 MeV   2.908E-02  1.170E-05    4.97 mm   203.19 um    93.86 um  
  15.00 MeV   2.748E-02  1.099E-05    5.64 mm   224.53 um   105.98 um  
  16.00 MeV   2.606E-02  1.036E-05    6.34 mm   246.22 um   118.76 um  
  17.00 MeV   2.479E-02  9.807E-06    7.07 mm   268.26 um   132.17 um  
  18.00 MeV   2.365E-02  9.309E-06    7.84 mm   290.67 um   146.21 um  
  20.00 MeV   2.169E-02  8.456E-06    9.50 mm   374.86 um   176.16 um  
  22.50 MeV   1.969E-02  7.594E-06   11.76 mm   495.37 um   217.02 um  
  25.00 MeV   1.806E-02  6.897E-06   14.24 mm   609.59 um   261.57 um  
  27.50 MeV   1.670E-02  6.322E-06   16.94 mm   721.59 um   309.73 um  
  30.00 MeV   1.555E-02  5.838E-06   19.84 mm   833.15 um   361.41 um  
  32.50 MeV   1.457E-02  5.425E-06   22.95 mm   945.16 um   416.53 um  
  35.00 MeV   1.372E-02  5.069E-06   26.26 mm     1.06 mm   475.01 um  
  37.50 MeV   1.297E-02  4.759E-06   29.77 mm     1.17 mm   536.78 um  
  40.00 MeV   1.231E-02  4.485E-06   33.47 mm     1.29 mm   601.78 um  
  45.00 MeV   1.119E-02  4.025E-06   41.44 mm     1.72 mm   741.25 um  
  50.00 MeV   1.029E-02  3.654E-06   50.17 mm     2.12 mm   892.93 um  
  55.00 MeV   9.535E-03  3.348E-06   59.62 mm     2.52 mm     1.06 mm  
  60.00 MeV   8.900E-03  3.090E-06   69.77 mm     2.91 mm     1.23 mm  
  65.00 MeV   8.358E-03  2.871E-06   80.62 mm     3.30 mm     1.42 mm  
  70.00 MeV   7.888E-03  2.681E-06   92.15 mm     3.69 mm     1.61 mm  
  80.00 MeV   7.114E-03  2.371E-06  117.14 mm     5.13 mm     2.04 mm  
  90.00 MeV   6.503E-03  2.127E-06  144.66 mm     6.46 mm     2.50 mm  
 100.00 MeV   6.007E-03  1.930E-06  174.61 mm     7.74 mm     3.00 mm  
 110.00 MeV   5.597E-03  1.767E-06  206.89 mm     9.01 mm     3.53 mm  
 120.00 MeV   5.252E-03  1.631E-06  241.41 mm    10.28 mm     4.10 mm  
 130.00 MeV   4.958E-03  1.514E-06  278.09 mm    11.54 mm     4.70 mm  
 140.00 MeV   4.703E-03  1.414E-06  316.85 mm    12.80 mm     5.33 mm  
 150.00 MeV   4.481E-03  1.326E-06  357.62 mm    14.07 mm     5.99 mm  
 160.00 MeV   4.286E-03  1.250E-06  400.33 mm    15.35 mm     6.67 mm  
 170.00 MeV   4.113E-03  1.181E-06  444.91 mm    16.63 mm     7.38 mm  
 180.00 MeV   3.958E-03  1.120E-06  491.31 mm    17.91 mm     8.11 mm  
