 ==================================================================
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> février 07, 2022 
 ==================================================================
 Disk File Name = SRIM Outputs\kapton
 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.4200E+00 g/cm3 = 8.7227E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 
   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.810E-02  3.667E-05  324.72 um    13.72 um     9.48 um  
   6.00 MeV   6.358E-02  3.393E-05  378.14 um    15.81 um    10.97 um  
   6.50 MeV   5.968E-02  3.158E-05  435.19 um    17.90 um    12.54 um  
   7.00 MeV   5.628E-02  2.955E-05  495.84 um    20.02 um    14.21 um  
   8.00 MeV   5.059E-02  2.622E-05  627.61 um    27.65 um    17.83 um  
   9.00 MeV   4.604E-02  2.358E-05  773.29 um    34.81 um    21.79 um  
  10.00 MeV   4.230E-02  2.145E-05  932.60 um    41.81 um    26.11 um  
  11.00 MeV   3.917E-02  1.969E-05    1.11 mm    48.81 um    30.76 um  
  12.00 MeV   3.651E-02  1.820E-05    1.29 mm    55.85 um    35.75 um  
  13.00 MeV   3.422E-02  1.693E-05    1.49 mm    62.99 um    41.06 um  
  14.00 MeV   3.223E-02  1.584E-05    1.70 mm    70.23 um    46.70 um  
  15.00 MeV   3.047E-02  1.488E-05    1.93 mm    77.59 um    52.65 um  
  16.00 MeV   2.892E-02  1.403E-05    2.16 mm    85.07 um    58.91 um  
  17.00 MeV   2.753E-02  1.329E-05    2.41 mm    92.69 um    65.49 um  
  18.00 MeV   2.628E-02  1.262E-05    2.67 mm   100.43 um    72.36 um  
  20.00 MeV   2.412E-02  1.147E-05    3.23 mm   128.99 um    87.02 um  
  22.50 MeV   2.191E-02  1.030E-05    4.00 mm   169.82 um   106.99 um  
  25.00 MeV   2.011E-02  9.364E-06    4.83 mm   208.63 um   128.74 um  
  27.50 MeV   1.861E-02  8.587E-06    5.74 mm   246.73 um   152.23 um  
  30.00 MeV   1.735E-02  7.933E-06    6.72 mm   284.73 um   177.42 um  
  32.50 MeV   1.626E-02  7.375E-06    7.77 mm   322.93 um   204.26 um  
  35.00 MeV   1.531E-02  6.894E-06    8.88 mm   361.49 um   232.73 um  
  37.50 MeV   1.448E-02  6.473E-06   10.06 mm   400.51 um   262.78 um  
  40.00 MeV   1.375E-02  6.103E-06   11.31 mm   440.05 um   294.39 um  
  45.00 MeV   1.251E-02  5.481E-06   13.99 mm   585.49 um   362.19 um  
  50.00 MeV   1.150E-02  4.978E-06   16.92 mm   722.27 um   435.88 um  
  55.00 MeV   1.067E-02  4.562E-06   20.10 mm   855.69 um   515.25 um  
  60.00 MeV   9.959E-03  4.213E-06   23.51 mm   988.03 um   600.13 um  
  65.00 MeV   9.354E-03  3.915E-06   27.15 mm     1.12 mm   690.32 um  
  70.00 MeV   8.830E-03  3.658E-06   31.02 mm     1.25 mm   785.67 um  
  80.00 MeV   7.966E-03  3.237E-06   39.41 mm     1.74 mm   991.24 um  
  90.00 MeV   7.284E-03  2.905E-06   48.64 mm     2.19 mm     1.22 mm  
 100.00 MeV   6.730E-03  2.637E-06   58.69 mm     2.62 mm     1.46 mm  
 110.00 MeV   6.272E-03  2.416E-06   69.52 mm     3.05 mm     1.72 mm  
 120.00 MeV   5.886E-03  2.230E-06   81.09 mm     3.48 mm     1.99 mm  
 130.00 MeV   5.557E-03  2.071E-06   93.39 mm     3.91 mm     2.28 mm  
 140.00 MeV   5.272E-03  1.935E-06  106.39 mm     4.34 mm     2.59 mm  
 150.00 MeV   5.024E-03  1.816E-06  120.05 mm     4.77 mm     2.91 mm  
 160.00 MeV   4.805E-03  1.711E-06  134.37 mm     5.20 mm     3.24 mm  
 170.00 MeV   4.611E-03  1.618E-06  149.31 mm     5.64 mm     3.58 mm  
 180.00 MeV   4.438E-03  1.535E-06  164.86 mm     6.07 mm     3.94 mm  
 200.00 MeV   4.142E-03  1.392E-06  197.68 mm     7.69 mm     4.68 mm  
 225.00 MeV   3.844E-03  1.249E-06  241.76 mm     9.95 mm     5.67 mm  
 250.00 MeV   3.603E-03  1.133E-06  289.02 mm    12.04 mm     6.71 mm  
 275.00 MeV   3.406E-03  1.037E-06  339.23 mm    14.03 mm     7.80 mm  
 300.00 MeV   3.241E-03  9.570E-07  392.17 mm    15.96 mm     8.94 mm  
 325.00 MeV   3.101E-03  8.886E-07  447.64 mm    17.85 mm    10.12 mm  
 350.00 MeV   2.982E-03  8.297E-07  505.48 mm    19.70 mm    11.33 mm  
 375.00 MeV   2.878E-03  7.783E-07  565.52 mm    21.52 mm    12.57 mm  
 400.00 MeV   2.788E-03  7.331E-07  627.62 mm    23.31 mm    13.84 mm  
 450.00 MeV   2.637E-03  6.572E-07  757.39 mm    29.79 mm    16.45 mm  
 500.00 MeV   2.518E-03  5.960E-07  893.92 mm    35.62 mm    19.14 mm  
 550.00 MeV   2.422E-03  5.455E-07    1.04 m     41.05 mm    21.88 mm  
 600.00 MeV   2.342E-03  5.031E-07    1.18 m     46.19 mm    24.66 mm  
 650.00 MeV   2.276E-03  4.670E-07    1.34 m     51.10 mm    27.48 mm  
 700.00 MeV   2.220E-03  4.359E-07    1.49 m     55.82 mm    30.32 mm  
 800.00 MeV   2.132E-03  3.850E-07    1.82 m     72.39 mm    36.02 mm  
 900.00 MeV   2.066E-03  3.450E-07    2.15 m     86.76 mm    41.72 mm  
   1.00 GeV   2.016E-03  3.128E-07    2.50 m     99.73 mm    47.39 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.4200E+01                 eV / Angstrom 
  1.4200E+02                keV / micron   
  1.4200E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.6279E+01                 eV / (1E15 atoms/cm2)
  8.1434E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
