 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> juillet 21. 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tantalum.txt

 Ion = Hydrogen [1] . Mass = 1.008 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   2.726E-02  1.539E-05   75.85 um     5.59 um     9.69 um  
   6.00 MeV   2.585E-02  1.430E-05   86.84 um     6.27 um    10.94 um  
   6.50 MeV   2.459E-02  1.336E-05   98.42 um     6.97 um    12.25 um  
   7.00 MeV   2.348E-02  1.254E-05  110.58 um     7.69 um    13.61 um  
   8.00 MeV   2.157E-02  1.119E-05  136.58 um     9.51 um    16.49 um  
   9.00 MeV   1.998E-02  1.012E-05  164.79 um    11.34 um    19.56 um  
  10.00 MeV   1.865E-02  9.246E-06  195.14 um    13.21 um    22.83 um  
  11.00 MeV   1.751E-02  8.519E-06  227.60 um    15.12 um    26.29 um  
  12.00 MeV   1.651E-02  7.903E-06  262.11 um    17.08 um    29.93 um  
  13.00 MeV   1.564E-02  7.376E-06  298.63 um    19.10 um    33.76 um  
  14.00 MeV   1.487E-02  6.918E-06  337.13 um    21.17 um    37.76 um  
  15.00 MeV   1.419E-02  6.517E-06  377.58 um    23.30 um    41.94 um  
  16.00 MeV   1.357E-02  6.162E-06  419.94 um    25.49 um    46.28 um  
  17.00 MeV   1.301E-02  5.846E-06  464.18 um    27.73 um    50.80 um  
  18.00 MeV   1.250E-02  5.563E-06  510.29 um    30.03 um    55.48 um  
  20.00 MeV   1.161E-02  5.075E-06  607.96 um    36.07 um    65.32 um  
  22.50 MeV   1.069E-02  4.579E-06  740.07 um    44.43 um    78.51 um  
  25.00 MeV   9.920E-03  4.176E-06  883.09 um    52.83 um    92.66 um  
  27.50 MeV   9.269E-03  3.842E-06    1.04 mm    61.37 um   107.73 um  
  30.00 MeV   8.710E-03  3.559E-06    1.20 mm    70.09 um   123.69 um  
  32.50 MeV   8.225E-03  3.317E-06    1.37 mm    79.04 um   140.53 um  
  35.00 MeV   7.799E-03  3.108E-06    1.56 mm    88.21 um   158.21 um  
  37.50 MeV   7.422E-03  2.925E-06    1.75 mm    97.63 um   176.72 um  
  40.00 MeV   7.086E-03  2.763E-06    1.96 mm   107.29 um   196.04 um  
  45.00 MeV   6.510E-03  2.490E-06    2.39 mm   134.22 um   237.05 um  
  50.00 MeV   6.036E-03  2.268E-06    2.86 mm   160.98 um   281.10 um  
  55.00 MeV   5.638E-03  2.085E-06    3.37 mm   187.99 um   328.06 um  
  60.00 MeV   5.298E-03  1.930E-06    3.91 mm   215.45 um   377.82 um  
  65.00 MeV   5.004E-03  1.797E-06    4.48 mm   243.48 um   430.28 um  
  70.00 MeV   4.748E-03  1.683E-06    5.09 mm   272.11 um   485.34 um  
  80.00 MeV   4.322E-03  1.494E-06    6.40 mm   355.09 um   602.97 um  
  90.00 MeV   3.981E-03  1.345E-06    7.82 mm   436.19 um   730.04 um  
 100.00 MeV   3.701E-03  1.224E-06    9.37 mm   517.31 um   865.97 um  
 110.00 MeV   3.468E-03  1.124E-06   11.02 mm   599.27 um     1.01 mm  
 120.00 MeV   3.271E-03  1.040E-06   12.78 mm   682.43 um     1.16 mm  
 130.00 MeV   3.101E-03  9.677E-07   14.64 mm   766.98 um     1.32 mm  
 140.00 MeV   2.954E-03  9.054E-07   16.60 mm   852.98 um     1.49 mm  
 150.00 MeV   2.825E-03  8.510E-07   18.65 mm   940.43 um     1.66 mm  
 160.00 MeV   2.711E-03  8.031E-07   20.79 mm     1.03 mm     1.84 mm  
 170.00 MeV   2.609E-03  7.604E-07   23.02 mm     1.12 mm     2.03 mm  
 180.00 MeV   2.518E-03  7.223E-07   25.34 mm     1.21 mm     2.22 mm  
 200.00 MeV   2.361E-03  6.569E-07   30.21 mm     1.48 mm     2.62 mm  
 225.00 MeV   2.202E-03  5.907E-07   36.72 mm     1.84 mm     3.14 mm  
 250.00 MeV   2.074E-03  5.371E-07   43.66 mm     2.20 mm     3.69 mm  
 275.00 MeV   1.968E-03  4.927E-07   51.02 mm     2.54 mm     4.27 mm  
 300.00 MeV   1.879E-03  4.554E-07   58.74 mm     2.88 mm     4.86 mm  
 325.00 MeV   1.804E-03  4.236E-07   66.81 mm     3.22 mm     5.48 mm  
 350.00 MeV   1.739E-03  3.961E-07   75.21 mm     3.55 mm     6.11 mm  
 375.00 MeV   1.683E-03  3.720E-07   83.90 mm     3.89 mm     6.75 mm  
 400.00 MeV   1.634E-03  3.509E-07   92.87 mm     4.22 mm     7.40 mm  
 450.00 MeV   1.553E-03  3.153E-07  111.55 mm     5.22 mm     8.75 mm  
 500.00 MeV   1.488E-03  2.865E-07  131.14 mm     6.15 mm    10.12 mm  
 550.00 MeV   1.436E-03  2.627E-07  151.51 mm     7.03 mm    11.52 mm  
 600.00 MeV   1.394E-03  2.426E-07  172.58 mm     7.88 mm    12.93 mm  
 650.00 MeV   1.358E-03  2.256E-07  194.25 mm     8.70 mm    14.35 mm  
 700.00 MeV   1.328E-03  2.108E-07  216.46 mm     9.49 mm    15.78 mm  
 800.00 MeV   1.281E-03  1.866E-07  262.21 mm    11.92 mm    18.64 mm  
 900.00 MeV   1.247E-03  1.676E-07  309.45 mm    14.08 mm    21.49 mm  
   1.00 GeV   1.221E-03  1.522E-07  357.87 mm    16.06 mm    24.31 mm  
   1.10 GeV   1.202E-03  1.395E-07  407.20 mm    17.91 mm    27.08 mm  
   1.20 GeV   1.187E-03  1.288E-07  457.28 mm    19.65 mm    29.81 mm  
   1.30 GeV   1.175E-03  1.197E-07  507.92 mm    21.30 mm    32.50 mm  
   1.40 GeV   1.166E-03  1.118E-07  559.02 mm    22.87 mm    35.12 mm  
   1.50 GeV   1.160E-03  1.049E-07  610.48 mm    24.38 mm    37.70 mm  
   1.60 GeV   1.155E-03  9.890E-08  662.21 mm    25.82 mm    40.22 mm  
   1.70 GeV   1.151E-03  9.355E-08  714.15 mm    27.20 mm    42.69 mm  
   1.80 GeV   1.148E-03  8.876E-08  766.24 mm    28.53 mm    45.11 mm  
   2.00 GeV   1.146E-03  8.056E-08  870.70 mm    32.75 mm    49.79 mm  
   2.25 GeV   1.146E-03  7.229E-08    1.00 m     38.30 mm    55.38 mm  
   2.50 GeV   1.148E-03  6.560E-08    1.13 m     43.15 mm    60.68 mm  
   2.75 GeV   1.152E-03  6.008E-08    1.26 m     47.52 mm    65.74 mm  
   3.00 GeV   1.156E-03  5.545E-08    1.39 m     51.50 mm    70.57 mm  
   3.25 GeV   1.162E-03  5.150E-08    1.52 m     55.18 mm    75.18 mm  
   3.50 GeV   1.167E-03  4.810E-08    1.65 m     58.61 mm    79.60 mm  
   3.75 GeV   1.173E-03  4.513E-08    1.78 m     61.82 mm    83.85 mm  
   4.00 GeV   1.179E-03  4.252E-08    1.91 m     64.86 mm    87.93 mm  
   4.50 GeV   1.191E-03  3.813E-08    2.16 m     74.86 mm    95.66 mm  
   5.00 GeV   1.203E-03  3.459E-08    2.41 m     83.52 mm   102.89 mm  
   5.50 GeV   1.215E-03  3.167E-08    2.66 m     91.24 mm   109.67 mm  
   6.00 GeV   1.226E-03  2.922E-08    2.91 m     98.23 mm   116.07 mm  
   6.50 GeV   1.237E-03  2.713E-08    3.15 m    104.66 mm   122.14 mm  
   7.00 GeV   1.247E-03  2.533E-08    3.39 m    110.62 mm   127.90 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.6600E+02                 eV / Angstrom 
  1.6600E+03                keV / micron   
  1.6600E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.0047E+02                 eV / (1E15 atoms/cm2)
  3.7735E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984.1989.1992.1998.2008 by J.P. Biersack and J.F. Ziegler
