 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> aout 08, 2018
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Diamond.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.5200E+00 g/cm3 = 1.7648E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   4.907E-02  2.416E-05  261.29 um    11.50 um     7.34 um
   9.00 MeV   4.466E-02  2.173E-05  321.89 um    14.48 um     8.97 um
  10.00 MeV   4.104E-02  1.977E-05  388.14 um    17.39 um    10.74 um
  11.00 MeV   3.801E-02  1.814E-05  459.96 um    20.29 um    12.65 um
  12.00 MeV   3.543E-02  1.678E-05  537.25 um    23.22 um    14.70 um
  13.00 MeV   3.321E-02  1.561E-05  619.94 um    26.18 um    16.88 um
  14.00 MeV   3.128E-02  1.460E-05  707.94 um    29.19 um    19.19 um
  15.00 MeV   2.958E-02  1.372E-05  801.20 um    32.24 um    21.63 um
  16.00 MeV   2.807E-02  1.294E-05  899.64 um    35.35 um    24.20 um
  17.00 MeV   2.672E-02  1.225E-05    1.00 mm    38.51 um    26.90 um
  18.00 MeV   2.551E-02  1.163E-05    1.11 mm    41.73 um    29.72 um
  20.00 MeV   2.341E-02  1.057E-05    1.34 mm    53.59 um    35.73 um
  22.50 MeV   2.128E-02  9.501E-06    1.66 mm    70.54 um    43.92 um
  25.00 MeV   1.953E-02  8.635E-06    2.01 mm    86.66 um    52.84 um
  27.50 MeV   1.808E-02  7.918E-06    2.39 mm   102.48 um    62.47 um
  30.00 MeV   1.685E-02  7.316E-06    2.79 mm   118.25 um    72.79 um
  32.50 MeV   1.579E-02  6.802E-06    3.23 mm   134.11 um    83.80 um
  35.00 MeV   1.487E-02  6.358E-06    3.69 mm   150.11 um    95.46 um
  37.50 MeV   1.407E-02  5.971E-06    4.18 mm   166.31 um   107.78 um
  40.00 MeV   1.336E-02  5.629E-06    4.70 mm   182.71 um   120.73 um
  45.00 MeV   1.215E-02  5.056E-06    5.81 mm   243.10 um   148.51 um
  50.00 MeV   1.117E-02  4.592E-06    7.03 mm   299.89 um   178.70 um
  55.00 MeV   1.036E-02  4.209E-06    8.35 mm   355.27 um   211.22 um
  60.00 MeV   9.675E-03  3.887E-06    9.77 mm   410.20 um   245.98 um
  65.00 MeV   9.087E-03  3.612E-06   11.28 mm   465.14 um   282.93 um
  70.00 MeV   8.578E-03  3.375E-06   12.89 mm   520.36 um   321.98 um
  80.00 MeV   7.739E-03  2.986E-06   16.37 mm   721.40 um   406.17 um
  90.00 MeV   7.076E-03  2.680E-06   20.20 mm   907.68 um   498.09 um
 100.00 MeV   6.538E-03  2.433E-06   24.38 mm     1.09 mm   597.30 um
 110.00 MeV   6.093E-03  2.229E-06   28.87 mm     1.27 mm   703.40 um
 120.00 MeV   5.718E-03  2.058E-06   33.68 mm     1.44 mm   816.05 um
 130.00 MeV   5.398E-03  1.912E-06   38.79 mm     1.62 mm   934.90 um
 140.00 MeV   5.121E-03  1.785E-06   44.18 mm     1.80 mm     1.06 mm
 150.00 MeV   4.880E-03  1.676E-06   49.86 mm     1.98 mm     1.19 mm
 160.00 MeV   4.668E-03  1.579E-06   55.81 mm     2.16 mm     1.33 mm
 170.00 MeV   4.479E-03  1.493E-06   62.01 mm     2.34 mm     1.47 mm
 180.00 MeV   4.311E-03  1.416E-06   68.47 mm     2.52 mm     1.61 mm
 200.00 MeV   4.023E-03  1.285E-06   82.10 mm     3.19 mm     1.92 mm
