 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 08, 2018 
 ==================================================================
 Disk File Name = SRIM Outputs\Hydrogen in  B- C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.5200E+00 g/cm3 = 1.3732E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    080.00    078.26   
      C      6    020.00    021.74   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   5.853E-02  2.821E-05  231.69 um     9.63 um     6.22 um  
   6.50 MeV   5.493E-02  2.625E-05  266.63 um    10.91 um     7.12 um  
   7.00 MeV   5.178E-02  2.456E-05  303.78 um    12.20 um     8.06 um  
   8.00 MeV   4.654E-02  2.179E-05  384.51 um    16.87 um    10.11 um  
   9.00 MeV   4.234E-02  1.960E-05  473.79 um    21.24 um    12.36 um  
  10.00 MeV   3.889E-02  1.782E-05  571.45 um    25.52 um    14.81 um  
  11.00 MeV   3.601E-02  1.636E-05  677.35 um    29.80 um    17.44 um  
  12.00 MeV   3.356E-02  1.512E-05  791.37 um    34.10 um    20.27 um  
  13.00 MeV   3.144E-02  1.407E-05  913.37 um    38.46 um    23.29 um  
  14.00 MeV   2.961E-02  1.315E-05    1.04 mm    42.88 um    26.49 um  
  15.00 MeV   2.799E-02  1.236E-05    1.18 mm    47.37 um    29.86 um  
  16.00 MeV   2.656E-02  1.166E-05    1.33 mm    51.94 um    33.42 um  
  17.00 MeV   2.528E-02  1.103E-05    1.48 mm    56.58 um    37.15 um  
  18.00 MeV   2.413E-02  1.048E-05    1.64 mm    61.31 um    41.05 um  
  20.00 MeV   2.214E-02  9.522E-06    1.98 mm    78.81 um    49.38 um  
  22.50 MeV   2.012E-02  8.557E-06    2.45 mm   103.85 um    60.71 um  
  25.00 MeV   1.846E-02  7.775E-06    2.97 mm   127.62 um    73.07 um  
  27.50 MeV   1.709E-02  7.129E-06    3.52 mm   150.95 um    86.40 um  
  30.00 MeV   1.592E-02  6.586E-06    4.12 mm   174.20 um   100.71 um  
  32.50 MeV   1.492E-02  6.123E-06    4.77 mm   197.57 um   115.95 um  
  35.00 MeV   1.405E-02  5.723E-06    5.45 mm   221.15 um   132.12 um  
  37.50 MeV   1.329E-02  5.374E-06    6.18 mm   245.00 um   149.19 um  
  40.00 MeV   1.262E-02  5.066E-06    6.94 mm   269.16 um   167.14 um  
  45.00 MeV   1.148E-02  4.549E-06    8.59 mm   358.38 um   205.64 um  
  50.00 MeV   1.056E-02  4.131E-06   10.39 mm   442.21 um   247.48 um  
  55.00 MeV   9.788E-03  3.786E-06   12.34 mm   523.94 um   292.56 um  
  60.00 MeV   9.139E-03  3.496E-06   14.43 mm   604.98 um   340.75 um  
  65.00 MeV   8.583E-03  3.249E-06   16.67 mm   686.01 um   391.97 um  
  70.00 MeV   8.102E-03  3.035E-06   19.05 mm   767.43 um   446.11 um  
  80.00 MeV   7.309E-03  2.685E-06   24.20 mm     1.06 mm   562.84 um  
  90.00 MeV   6.682E-03  2.410E-06   29.87 mm     1.34 mm   690.29 um  
 100.00 MeV   6.174E-03  2.188E-06   36.05 mm     1.61 mm   827.86 um  
 110.00 MeV   5.753E-03  2.004E-06   42.70 mm     1.87 mm   975.01 um  
 120.00 MeV   5.399E-03  1.850E-06   49.81 mm     2.13 mm     1.13 mm  
 130.00 MeV   5.096E-03  1.718E-06   57.37 mm     2.39 mm     1.30 mm  
