 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 09, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  Mylar .txt
 Ion = Hydrogen [1] , Mass = 1.008 amu
 Target Density =  1.4000E+00 g/cm3 = 9.6517E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.945E-02  3.845E-05  322.56 um    13.63 um     9.39 um  
   6.00 MeV   6.484E-02  3.557E-05  375.68 um    15.71 um    10.86 um  
   6.50 MeV   6.086E-02  3.311E-05  432.43 um    17.79 um    12.42 um  
   7.00 MeV   5.738E-02  3.098E-05  492.76 um    19.90 um    14.08 um  
   8.00 MeV   5.158E-02  2.748E-05  623.85 um    27.50 um    17.67 um  
   9.00 MeV   4.693E-02  2.472E-05  768.81 um    34.62 um    21.60 um  
  10.00 MeV   4.311E-02  2.248E-05  927.36 um    41.59 um    25.89 um  
  11.00 MeV   3.992E-02  2.063E-05    1.10 mm    48.55 um    30.51 um  
  12.00 MeV   3.721E-02  1.907E-05    1.28 mm    55.57 um    35.46 um  
  13.00 MeV   3.487E-02  1.774E-05    1.48 mm    62.67 um    40.74 um  
  14.00 MeV   3.283E-02  1.659E-05    1.69 mm    69.88 um    46.34 um  
  15.00 MeV   3.105E-02  1.559E-05    1.92 mm    77.21 um    52.26 um  
  16.00 MeV   2.946E-02  1.471E-05    2.15 mm    84.66 um    58.48 um  
  17.00 MeV   2.804E-02  1.392E-05    2.40 mm    92.24 um    65.02 um  
  18.00 MeV   2.677E-02  1.322E-05    2.66 mm    99.96 um    71.85 um  
  20.00 MeV   2.456E-02  1.201E-05    3.22 mm   128.40 um    86.42 um  
  22.50 MeV   2.232E-02  1.080E-05    3.98 mm   169.06 um   106.27 um  
  25.00 MeV   2.048E-02  9.810E-06    4.81 mm   207.71 um   127.90 um  
  27.50 MeV   1.896E-02  8.995E-06    5.72 mm   245.66 um   151.26 um  
  30.00 MeV   1.766E-02  8.310E-06    6.69 mm   283.51 um   176.31 um  
  32.50 MeV   1.655E-02  7.726E-06    7.73 mm   321.56 um   203.01 um  
  35.00 MeV   1.559E-02  7.221E-06    8.84 mm   359.97 um   231.32 um  
  37.50 MeV   1.475E-02  6.781E-06   10.02 mm   398.84 um   261.21 um  
  40.00 MeV   1.400E-02  6.393E-06   11.26 mm   438.23 um   292.66 um  
  45.00 MeV   1.274E-02  5.741E-06   13.93 mm   583.12 um   360.10 um  
  50.00 MeV   1.171E-02  5.213E-06   16.85 mm   719.39 um   433.41 um  
  55.00 MeV   1.086E-02  4.778E-06   20.02 mm   852.32 um   512.39 um  
  60.00 MeV   1.014E-02  4.412E-06   23.41 mm   984.16 um   596.84 um  
  65.00 MeV   9.523E-03  4.100E-06   27.04 mm     1.12 mm   686.59 um  
  70.00 MeV   8.989E-03  3.831E-06   30.90 mm     1.25 mm   781.48 um  
  80.00 MeV   8.109E-03  3.389E-06   39.26 mm     1.73 mm   986.05 um  
  90.00 MeV   7.414E-03  3.042E-06   48.46 mm     2.18 mm     1.21 mm  
 100.00 MeV   6.851E-03  2.761E-06   58.47 mm     2.61 mm     1.45 mm  
 110.00 MeV   6.384E-03  2.529E-06   69.26 mm     3.04 mm     1.71 mm  
 120.00 MeV   5.991E-03  2.335E-06   80.79 mm     3.47 mm     1.98 mm  
 130.00 MeV   5.656E-03  2.169E-06   93.05 mm     3.89 mm     2.27 mm  
 140.00 MeV   5.366E-03  2.026E-06  106.00 mm     4.32 mm     2.57 mm  
 150.00 MeV   5.114E-03  1.901E-06  119.62 mm     4.75 mm     2.89 mm  
 160.00 MeV   4.891E-03  1.791E-06  133.88 mm     5.18 mm     3.22 mm  
 170.00 MeV   4.694E-03  1.693E-06  148.77 mm     5.61 mm     3.56 mm  
 180.00 MeV   4.517E-03  1.606E-06  164.27 mm     6.05 mm     3.92 mm  
 200.00 MeV   4.216E-03  1.458E-06  196.97 mm     7.66 mm     4.66 mm  
 225.00 MeV   3.912E-03  1.307E-06  240.90 mm     9.91 mm     5.64 mm  
 250.00 MeV   3.668E-03  1.186E-06  288.00 mm    12.00 mm     6.68 mm  
