PSTAR: Stopping Powers and Range Tables for Protons

POLYCARBONATE (MAKROLON, LEXAN)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

3.000E+00 1.119E+02 6.968E-02 1.120E+02 1.567E-02 1.562E-02 0.9970
3.500E+00 9.956E+01 6.045E-02 9.962E+01 2.041E-02 2.036E-02 0.9973
4.000E+00 8.985E+01 5.342E-02 8.990E+01 2.570E-02 2.564E-02 0.9975
4.500E+00 8.202E+01 4.790E-02 8.207E+01 3.153E-02 3.146E-02 0.9976
5.000E+00 7.556E+01 4.343E-02 7.560E+01 3.788E-02 3.780E-02 0.9977
5.500E+00 7.012E+01 3.975E-02 7.016E+01 4.476E-02 4.466E-02 0.9978
6.000E+00 6.548E+01 3.665E-02 6.552E+01 5.214E-02 5.203E-02 0.9979
6.500E+00 6.147E+01 3.401E-02 6.150E+01 6.002E-02 5.989E-02 0.9980
7.000E+00 5.796E+01 3.174E-02 5.799E+01 6.839E-02 6.826E-02 0.9980
7.500E+00 5.486E+01 2.976E-02 5.489E+01 7.726E-02 7.711E-02 0.9980
8.000E+00 5.211E+01 2.801E-02 5.213E+01 8.661E-02 8.644E-02 0.9981
8.500E+00 4.965E+01 2.647E-02 4.967E+01 9.644E-02 9.626E-02 0.9981
9.000E+00 4.742E+01 2.509E-02 4.745E+01 1.067E-01 1.065E-01 0.9982
9.500E+00 4.541E+01 2.385E-02 4.543E+01 1.175E-01 1.173E-01 0.9982
1.000E+01 4.357E+01 2.273E-02 4.360E+01 1.288E-01 1.285E-01 0.9982
1.250E+01 3.639E+01 1.843E-02 3.641E+01 1.918E-01 1.915E-01 0.9983
1.500E+01 3.139E+01 1.552E-02 3.141E+01 2.659E-01 2.655E-01 0.9984
1.750E+01 2.770E+01 1.342E-02 2.771E+01 3.509E-01 3.503E-01 0.9984
2.000E+01 2.485E+01 1.183E-02 2.486E+01 4.463E-01 4.456E-01 0.9985
2.500E+01 2.073E+01 9.576E-03 2.073E+01 6.676E-01 6.666E-01 0.9985
2.750E+01 1.918E+01 8.750E-03 1.919E+01 7.930E-01 7.918E-01 0.9985
3.000E+01 1.788E+01 8.057E-03 1.788E+01 9.281E-01 9.267E-01 0.9986
3.500E+01 1.578E+01 6.961E-03 1.579E+01 1.226E+00 1.225E+00 0.9986
