Name,stdx,stdy,gaussian_fit_stdx,gaussian_fit_stdy,x_quantile_minus_1_sigma,x_quantile_plus_1_sigma,y_quantile_minus_1_sigma,y_quantile_plus_1_sigma,x_quantile_minus_2_sigma,x_quantile_plus_2_sigma,y_quantile_minus_2_sigma,y_quantile_plus_2_sigma,x_quantile_50,y_quantile_50,AT_EXIT
DRIFT_PMQ1,0.008980956859886645,0.002574230311438441,0.010911662618831678,0.002385596185080129,-0.010587790049612522,0.010163203813135624,-0.0024289523181505466,0.002452447777613997,-0.016342079266905785,0.014247629791498184,-0.005183675792068243,0.005241089966148138,0.0006294192571658641,-9.999999747378752e-06,0.097
PMQ1,0.008252657018601894,0.002894035307690501,0.009954278778902115,0.0026270742759306725,-0.009671098016202443,0.00936281867325306,-0.0026882481761276718,0.002715960377827287,-0.015065546147525309,0.01319462899118662,-0.005860534496605396,0.005910184700042009,0.00047608237946406007,-1.16416958917398e-05,0.303
DRIFT_PMQ2,0.007904662750661373,0.0030191391706466675,0.009521481440886142,0.002731872983412152,-0.009254248589277259,0.008974019438028336,-0.0027970110531896357,0.0028272238560020924,-0.014439767226576803,0.012655303813517094,-0.006115751806646586,0.0061762132681906215,0.00044325299677439045,-1.2198031072330195e-05,0.337
PMQ2,0.004705736879259348,0.004312281031161547,0.005583450144710513,0.0038438697902168657,-0.005539754871279,0.0053414679132401935,-0.003957989625632763,0.003992011304944754,-0.008748508058488369,0.007600879296660423,-0.008759383274242279,0.008832923136651516,0.00017576913523953408,-1.7752045096131038e-05,0.543
DRIFT_Q1C,0.003320228075608611,0.007618018426001072,0.0037076079159794905,0.006903355878038724,-0.003530265996232629,0.0039459578692913055,-0.0071008685044944295,0.007157113868743181,-0.004738465417176485,0.006615416146814822,-0.01569764316082001,0.01579040661454201,-0.0006578538450412452,-3.2635409297654405e-05,0.9245
Q1C,0.010917880572378635,0.007295651361346246,0.012989698203936615,0.006758869973371232,-0.012174341827630995,0.0131442379206419,-0.006912509420886638,0.0069747408851981154,-0.01676250249147415,0.02029150165617466,-0.015108265914022924,0.015177570283412932,-0.0014301600167527795,-3.222923623980023e-05,1.2145
DRIFT_SL1E,0.014862207695841791,0.0058951866813004026,0.021466017535677676,0.00554617665842082,-0.017377177253365517,0.01715707965195179,-0.005632969085127115,0.005684710632078332,-0.023785857483744618,0.026698634952306743,-0.012093981727957727,0.012159005738794805,-0.002500514267012477,-2.7019921617466025e-05,1.3395
SL1E,0.010406557470560074,0.005187831819057465,0.03915915208658774,0.004845937586338039,-0.013550617732107641,0.01079319603741169,-0.00492364726960659,0.004966938402503729,-0.017720196396112442,0.017251435667276382,-0.0105336494743824,0.010705827735364435,-0.0024262834340333943,-2.451978252793197e-05,1.3995
DRIFT_Q2C,0.013030337169766426,0.004066518507897854,0.020291936039024502,0.0037883168159121186,-0.016959721222519875,0.013521729037165642,-0.003852707566693425,0.003887854982167481,-0.022206367924809456,0.021613527089357376,-0.008239392191171646,0.008385854013264173,-0.002998717594891786,-1.9371296730241735e-05,1.523
Q2C,0.011665876023471355,0.002040822291746736,0.016726327597321924,0.0018679787368019163,-0.015142355114221571,0.012099568732082844,-0.0019118213094770906,0.00192771281581372,-0.019912229850888245,0.01936096884310245,-0.004156467970460653,0.004204032476991415,-0.0025691252667456865,-1.087093278329121e-05,2.013
