x,dose
-24.5,0.0514039557170801
-24.0,0.0864573979916838
-23.5,0.13174171891840653
-23.0,0.18507026170600305
-22.5,0.205707832956658
-22.0,0.24417581573104866
-21.5,0.32183527245359483
-21.0,0.3790631062486624
-20.5,0.41108712461050134
-20.0,0.43869988830073386
-19.5,0.4948128429340771
-19.0,0.5383089406320374
-18.5,0.6698108930953312
-18.0,0.7848823915484868
-17.5,1.091179424453776
-17.0,1.3562583015871488
-16.5,1.808473577963994
-16.0,2.3253538916809804
-15.5,3.094524191884662
-15.0,8.413474561133743
-14.5,43.81188017069714
-14.0,82.79273296825403
-13.5,91.19522996576309
-13.0,94.2431888789645
-12.5,94.32136696157116
-12.0,95.01782084579904
-11.5,97.14609768445284
-11.0,95.8732021730307
-10.5,95.8419185440021
-10.0,97.09802817228858
-9.5,98.15847145575924
-9.0,97.31886519776853
-8.5,97.95719594808592
-8.0,98.8182915051116
-7.5,98.49862018237256
-7.0,99.04641483361091
-6.5,99.82822203069934
-6.0,98.43027875406712
-5.5,97.52850618561223
-5.0,99.01969517752013
-4.5,97.6172992072497
-4.0,98.86550086391394
-3.5,98.25158884559032
-3.0,99.47077392417299
-2.5,98.13806968280076
-2.0,97.48085501983671
-1.5,98.31153686404079
-1.0,97.68452584440884
-0.5,98.24021029895009
0.0,98.27329692112829
0.5,98.85704958036244
1.0,98.38577635253765
1.5,98.94570215638979
2.0,98.5877777998891
2.5,96.48337255284261
3.0,100.0
3.5,97.94476350013716
4.0,97.08734756346355
4.5,98.65090084933463
5.0,99.5635205010397
5.5,97.82176856724027
6.0,99.45457710712202
6.5,99.14107509401757
7.0,99.86811821477185
7.5,99.16119081330267
8.0,98.29681922636685
8.5,97.88792532373292
9.0,98.90196954388504
9.5,99.1420054478354
10.0,98.71203005870676
10.5,97.35424533455733
11.0,98.99170609321892
11.5,97.75952375582531
12.0,96.47736720037595
12.5,95.40980716313356
13.0,94.05952813547734
13.5,94.95506820834399
14.0,92.76062564100936
14.5,83.13688963880848
15.0,42.44531154637589
15.5,8.123641033675607
16.0,2.9717071271966202
16.5,2.457970493982161
17.0,1.669645761849259
17.5,1.445716974805685
18.0,1.0743062039553835
18.5,0.723219446409373
19.0,0.6508080599301088
19.5,0.4911516215818254
20.0,0.4726002063581559
20.5,0.3473281846472655
21.0,0.32778114884446696
21.5,0.3284419817248478
22.0,0.26989393294122455
22.5,0.20952745615648632
23.0,0.2171860861511776
23.5,0.17674707398749015
24.0,0.19188131243908532
24.5,0.1180814396590679
25.0,0.06274372899100553
