dose_0,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,dose_7,dose_8,dose_9,dose_10,dose_11,dose_12,dose_13,dose_14,dose_15,dose_16,dose_17,dose_18,dose_19,dose_20,dose_21,dose_22,dose_23,dose_24,dose_25,dose_26,dose_27,dose_28,dose_29,dose_30,dose_31,dose_32
29.305969881809627,28.456789662590445,27.6745578471166,27.90860859982988,29.15344928494121,29.093251205627745,29.13549320694872,31.92133480487953,30.63354159609314,30.97490431289163,31.48783885664852,31.71122750005017,32.60471854197248,32.38091463024489,32.34933685836747,34.859717015419456,36.283213096024944,37.14350143377624,39.01098162362944,38.39533831164644,42.22927939172578,41.34263006531707,45.84233991748732,47.035696532515885,48.66964352639181,52.082293711049694,54.98300625425028,60.14372658152211,69.33934962545138,76.13552191876997,98.10804994598092,100.0,100.0
28.89619327511448,28.272053966700305,27.94359118375924,28.21916440616373,28.94520280882184,29.1524147456923,29.066100764887786,32.00463756749806,30.70703948454421,30.635268593614672,31.175559972399714,31.892699707310832,32.78669850430915,32.713317198530625,32.929792045628645,35.484958653619685,36.334739424402926,37.90680083544494,39.92825878910941,39.5064921553199,42.59974515087943,41.93640689626169,46.05779458170895,48.604502220670646,49.62468419500664,52.28226063068742,56.471764782220085,62.16262262600814,70.43376226651814,78.37103126559535,99.44705231820352,81.30161114393798,58.7603227301248
29.192864880930905,27.98368270302325,27.654607533036472,28.456324703105608,29.38081798325491,29.01529803839009,29.05862473527808,31.88057206831953,30.90490907655748,30.784909397697,31.413662635003213,31.648526096506146,33.291416479026886,32.75490280634508,33.35994937496865,36.14147674107621,36.76687161577173,37.63981882228348,39.73406609142605,38.81997448298708,41.89989936259108,42.470155652114336,46.94290932010684,47.6508184568017,48.8657706012468,52.84920091485411,57.49735511785839,63.99995840139548,73.36104751607219,83.05743154703522,100.0,65.55222162085198,52.21931920448807
28.98651821504045,28.23330758502865,27.76243455340124,28.502982893685992,29.51050702870864,28.47273450800308,29.31057813561117,32.4344054847231,31.19951796349848,30.654257822783933,31.2184753527168,31.547794704149755,33.221951395325306,32.867107645993656,33.313976864222234,35.85731397744887,36.99408248101302,38.81150255249239,40.34697275210575,39.11203444966497,42.61206129915649,42.85189409987554,46.71891170508271,49.20194166343839,50.2916188761332,53.63858089948042,59.15323227312193,63.71996500194123,75.64087859951549,88.89981094315272,94.87448979130556,47.29708807370858,23.42232933954318
28.96556305262131,27.9675147317372,28.039913799454823,28.64804229027305,29.12819401295449,28.879830664988447,28.88519591502758,32.237011284319735,30.906008349597894,30.870160789994127,31.53854810374711,32.2578773160105,33.69566448341833,33.47171239127611,33.4865827039023,36.695395510613416,37.32951151705638,38.82911644083772,40.82961116837055,39.1028098148234,42.68147979732084,43.23037999155444,47.00534970327988,50.01285619640682,50.33127503431645,54.4795974246001,58.95644411804145,64.59053597001112,74.94367725246691,92.25239272899084,86.74493673898439,35.84473512276094,8.780086831096915
28.94673046452364,28.061704070526,28.00518356495207,28.682591700115065,29.54258099981271,28.91223572527536,29.453120050357235,32.10598750606351,31.524879462208737,31.127478626984097,31.66863383518522,31.722130337780968,33.964698481276656,33.66301371160514,33.16430593607598,37.06645422162075,37.89058086288873,39.06524799053942,41.18756171855381,39.60078870696855,42.837106181681776,43.98675664116679,47.58199705782824,51.00811012057144,51.00718113121509,55.08111585374163,59.70024246414918,66.28684435371666,79.05488452603747,96.82795602944742,73.17604675517117,18.58644087516046,1.5607606429512388
29.13694376852908,28.299294354241564,28.442207567515148,28.78178222546578,29.499926077067336,29.214869997921447,29.538010493484748,32.31887311111441,31.353968730992733,30.91657265478356,31.953135162587927,32.28907014385186,34.38160515089861,33.83681097495765,33.62444912272452,36.97029598822842,38.01191517141406,39.21574969049882,41.557709605347135,39.40892716131085,43.191076855265145,44.85323274203769,49.15887631592091,51.0066267274278,51.39410347351002,55.972713269899735,60.8767787947328,66.47205227006228,83.92874734111528,100.0,54.09494460027707,11.539497678508278,1.723919921627963
28.82540173473025,28.098073544066988,27.993143096658283,28.82005963245661,29.75781829621127,29.154858927566245,29.69254578360463,32.200842348433056,31.385521308016507,30.99784208586725,32.06591896571771,32.58542271394691,34.12223927534372,33.69333032048113,33.82574461670285,37.11402002519382,38.1975948773482,39.42764179040399,41.9811921510798,40.2110587297298,43.99783293555752,45.89700276071212,48.83053364089204,50.50091124215493,51.98451157696133,55.97971423599672,61.17924199494607,67.81198685199145,89.4057961995692,99.1081605738628,39.88082277457284,8.294932408329247,0.0
28.95638990968968,27.89752980825091,27.68160974913012,28.75469797954468,29.770196321051568,29.145696105842084,29.7494696209374,32.764858992734666,31.42342868113987,31.23200290480093,32.45063965190372,32.149601696482954,34.28138356997751,33.662258336329806,33.418013515032854,36.995999236537,38.77191411399359,40.370230218369926,42.778652050761785,41.08490730084965,44.30593799338537,45.769499901109626,48.40887065722789,51.36719544357043,52.80091903677588,56.5743240678362,62.10520482086032,70.48761419416032,92.92768760308444,92.91839266530778,29.11069734454736,3.674652417934608,0.0
28.929257793182472,28.018541846418763,28.2035190377926,28.32162680933443,29.766843300327142,29.535770688985664,30.33317860145675,32.93750198722,31.463099520315605,31.303756878553763,32.16697533510094,32.13183376170485,34.665700680402615,34.25935360665569,33.706952578114745,37.51778453985496,38.04442572791016,40.33664741489611,42.93509390630708,41.09066360063549,44.46341560539859,45.8768019964951,49.06897195462578,50.77682951995044,53.07412445680982,57.86236187609613,62.27666763034927,72.43891171722946,97.47124277101918,82.92737724429296,20.274543002548363,1.9652612270287688,0.0
