NAME,TYPE,MATERIAL,APERTYPE,L,AT_ENTRY,AT_CENTER,AT_EXIT,TILT,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K1S,K2S,K3S,K4S,K5S,K6S,K7S,K8S,K9S,K10S,K11S,K12S,B,E,E1,E2,HGAP,FINT,FINTX,APERTURE1,APERTURE2,APERTURE3,APERTURE4,ENTRY_X,ENTRY_Y,ENTRY_Z,CENTER_X,CENTER_Y,CENTER_Z,EXIT_X,EXIT_Y,EXIT_Z,CLASS,APERTURE,ANGLE,MATRIX,WITH_LOSSES,KICK,APERTURE_UP,APERTURE_DOWN,CHAMBER,CHAMBER_UP,CHAMBER_DOWN,n_particles
DRIFT_T3G_Y,drift,G4_STAINLESS-STEEL,circular,0.33399954438209534 meter,7.289737313985825,7.456737086176872,7.62373685836792,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-6.755467245458987e-17,1.1032515252826212,6.9328999826928746,-7.412768118202481e-17,1.210596904081003,7.060829223524234,-8.070068990945974e-17,1.3179422828793852,7.188758464355591,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]]",False,,0.02975,0.02975,0,0,0,38647
Q5G,quadrupole,G4_Fe,circular,0.49000000953674316 meter,7.623737096786499,7.868737101554871,8.113737106323242,0.0 radian,7.701142671754827 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-8.07006900668973e-17,1.3179422854505356,7.188758467419769,-9.034374047889124e-17,1.475425249823738,7.376439355983918,-9.998679089088518e-17,1.6329082141969402,7.564120244548069,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,36178
DRIFT_Q6G,drift,G4_STAINLESS-STEEL,circular,0.33500000834465027 meter,8.113737136125565,8.28123714029789,8.448737144470215,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-9.998679104832273e-17,1.6329082167680906,7.564120247612246,-1.0657948877897167e-16,1.7405751413905863,7.692432691834675,-1.131721865096206e-16,1.848242066013082,7.820745136057105,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,25565
Q6G,quadrupole,G4_Fe,circular,0.28999999165534973 meter,8.448737114667892,8.593737110495567,8.738737106323242,0.0 radian,-7.025209685137866 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.1317218666705816e-16,1.8482420685842325,7.820745139121283,-1.188792981353811e-16,1.9414462719887806,7.931821583373535,-1.2458640960370404e-16,2.0346504753933288,8.042898027625785,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,21776
DRIFT_T4G_Y,drift,G4_STAINLESS-STEEL,circular,0.1752738356590271 meter,8.738737165927887,8.8263740837574,8.914011001586914,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.2458640976114157e-16,2.034650477964479,8.042898030689964,-1.2803574536541628e-16,2.0909824033273883,8.11003180511896,-1.3148508096969096e-16,2.147314328690297,8.177165579547955,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,18420
DRIFT_Q7G,drift,G4_STAINLESS-STEEL,circular,0.18472616374492645 meter,8.914011552929878,9.006374634802341,9.098737716674805,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.314850811271285e-16,2.1473143312614473,8.177165582612131,-1.3512043562146162e-16,2.2066841756421165,8.247919807944553,-1.3875579011579475e-16,2.266054020022785,8.318674033276976,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,15301
Q7G,quadrupole,G4_Fe,circular,0.28999999165534973 meter,9.098737686872482,9.243737682700157,9.388737678527832,0.0 radian,5.080336387537763 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.387557902732323e-16,2.2660540225939356,8.318674036341154,-1.4446290174155526e-16,2.3592582259984844,8.429750480593405,-1.5017001320987818e-16,2.4524624294030324,8.540826924845659,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,13595
DRIFT_P3G,drift,G4_STAINLESS-STEEL,circular,0.11952058970928192 meter,9.38873727619648,9.44849757105112,9.508257865905762,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.5017001336731574e-16,2.452462431974183,8.540826927909837,-1.5252214215011248e-16,2.4908756101155762,8.586605970962804,-1.548742709329092e-16,2.5292887882569697,8.632385014015771,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,13595
DRIFT_SL3G,drift,G4_STAINLESS-STEEL,circular,0.046161916106939316 meter,9.508256647735834,9.531337605789304,9.554418563842773,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,-1.5487427109034677e-16,2.5292887908281205,8.63238501707995,-1.5578272346548173e-16,2.5441249440074283,8.650066055931667,-1.566911758406167e-16,2.5589610971867365,8.667747094783387,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,13595
SL3G,rcol,G4_Ni,rectangular,0.05999999865889549 meter,9.554418984800577,9.584418984130025,9.614418983459473,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02249999998960265 meter,0.0275 meter,0.0,0.0,-1.5669117599805424e-16,2.558961099757887,8.667747097847565,-1.5787195768115555e-16,2.578244728048483,8.690728431141135,-1.5905273936425684e-16,2.5975283563390796,8.713709764434704,RectangularCollimator,"[<Quantity(0.02249999998960265, 'meter')>, <Quantity(0.0275, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.0275,0.0275,0,0,0,11569
