PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

2.750E+00 1.159E+02 7.233E-02 1.159E+02 1.398E-02 1.393E-02 0.9965 
3.000E+00 1.086E+02 6.678E-02 1.086E+02 1.621E-02 1.615E-02 0.9967 
3.500E+00 9.662E+01 5.795E-02 9.667E+01 2.110E-02 2.103E-02 0.9970 
4.000E+00 8.724E+01 5.123E-02 8.729E+01 2.655E-02 2.647E-02 0.9972 
4.500E+00 7.968E+01 4.594E-02 7.973E+01 3.255E-02 3.246E-02 0.9974 
5.000E+00 7.343E+01 4.167E-02 7.347E+01 3.909E-02 3.899E-02 0.9975 
5.500E+00 6.817E+01 3.814E-02 6.821E+01 4.615E-02 4.604E-02 0.9976 
6.000E+00 6.368E+01 3.518E-02 6.372E+01 5.374E-02 5.362E-02 0.9977 
6.500E+00 5.980E+01 3.265E-02 5.983E+01 6.185E-02 6.171E-02 0.9978 
7.000E+00 5.640E+01 3.047E-02 5.643E+01 7.046E-02 7.030E-02 0.9978 
7.500E+00 5.339E+01 2.857E-02 5.342E+01 7.957E-02 7.940E-02 0.9979 
8.000E+00 5.072E+01 2.690E-02 5.075E+01 8.917E-02 8.899E-02 0.9979 
8.500E+00 4.834E+01 2.542E-02 4.836E+01 9.927E-02 9.906E-02 0.9980 
9.000E+00 4.618E+01 2.410E-02 4.621E+01 1.098E-01 1.096E-01 0.9980 
9.500E+00 4.423E+01 2.291E-02 4.425E+01 1.209E-01 1.207E-01 0.9980 
1.000E+01 4.245E+01 2.183E-02 4.247E+01 1.324E-01 1.322E-01 0.9980 
1.250E+01 3.547E+01 1.771E-02 3.549E+01 1.971E-01 1.968E-01 0.9982 
1.500E+01 3.061E+01 1.492E-02 3.063E+01 2.732E-01 2.727E-01 0.9982 
1.750E+01 2.702E+01 1.290E-02 2.703E+01 3.603E-01 3.597E-01 0.9983 
2.000E+01 2.425E+01 1.137E-02 2.426E+01 4.581E-01 4.573E-01 0.9983 
2.500E+01 2.023E+01 9.210E-03 2.024E+01 6.848E-01 6.837E-01 0.9984 
2.750E+01 1.873E+01 8.416E-03 1.874E+01 8.133E-01 8.120E-01 0.9984 
3.000E+01 1.746E+01 7.751E-03 1.746E+01 9.516E-01 9.501E-01 0.9984 
3.500E+01 1.541E+01 6.697E-03 1.542E+01 1.257E+00 1.255E+00 0.9985 
4.000E+01 1.385E+01 5.901E-03 1.385E+01 1.600E+00 1.597E+00 0.9985 
4.500E+01 1.260E+01 5.277E-03 1.261E+01 1.979E+00 1.976E+00 0.9985 
