material, g/cm2
helium, 155.55
hydrogen, 145.76
beryllium, 92.59
polyethylene, 61.79
polystyrene, 59.15
carbon, 56.34
lexan, 55.05
nylon, 54.73
lucite, 53.76
water, 46.88
air, 46.76
teflon, 43.87
aluminum, 28.75
silicon, 25.93
iron, 15.82
copper, 14.62
nickel, 14.42
zinc, 14.09
gadolinium, 8.04
tantalum, 7.21
lead, 6.63
