#BLTrackFile
# x  y	z	Px	Py	Pz	t	PDGid	EventID	TrackID	ParentID    Weight
# mm mm mm MeV/c MeV/c MeV/c ns - - - -  -
-6.9271 -2.88 0 -0.85212 1.0164 696.3 0 2212 78 1 1 1
-10.303 3.4847 0 -3.6227 -1.1616 696.28 0 2212 79 1 1 1
-1.0698 7.2001 0 0.19182 -2.1779 696.29 0 2212 80 1 1 1
-3.9475 1.8043 0 -1.8047 -0.43558 696.29 0 2212 81 1 1 1
-4.6377 -4.3545 0 -2.3408 1.0164 696.29 0 2212 82 1 1 1
-0.48234 3.2367 0 0.308 -0.87116 696.3 0 2212 83 1 1 1
14.91 -2.44 0 4.084 0 696.28 0 2212 84 1 1 1
-10.235 -5.6129 0 -1.9454 2.1779 696.29 0 2212 85 1 1 1
-8.3151 -0.53 0 -3.0674 0.14519 696.29 0 2212 86 1 1 1
-11.803 2.3303 0 -2.4068 -1.0164 696.29 0 2212 87 1 1 1
-10.196 -7.0102 0 -1.863 2.6135 696.28 0 2212 88 1 1 1
-8.2456 0.25 0 -2.4503 -0.14519 696.29 0 2212 89 1 1 1
17.837 -5.9397 0 5.0093 -0.72597 696.26 0 2212 90 1 1 1
11.664 -0.7 0 -0.496 -0.14519 696.3 0 2212 91 1 1 1
-9.7478 2.8941 0 -2.8608 -1.0164 696.29 0 2212 92 1 1 1
-5.5166 -3.9213 0 -1.9308 1.0164 696.29 0 2212 93 1 1 1
-7.2639 -1.6072 0 -1.5669 0.58078 696.3 0 2212 94 1 1 1
13.152 -0.62968 0 -0.74331 0 696.3 0 2212 95 1 1 1
1.0655 5.5432 0 -1.3736 -0.87116 696.3 0 2212 96 1 1 1
18.513 -4.5855 0 4.1181 -1.0164 696.27 0 2212 97 1 1 1
17.708 -1.42 0 3.8748 -0.29038 696.28 0 2212 98 1 1 1
-11.416 -3.508 0 -2.5095 1.3067 696.29 0 2212 99 1 1 1
12.748 -3.6636 0 4.3426 0.43558 696.27 0 2212 100 1 1 1
-1.9235 -2.1399 0 0.0046304 0.72597 696.3 0 2212 101 1 1 1
18.027 6.5634 0 3.7581 1.3067 696.28 0 2212 102 1 1 1
-10.257 3.9765 0 -1.8224 -1.4519 696.29 0 2212 103 1 1 1
8.0605 6.2283 0 2.3702 -1.1616 696.29 0 2212 104 1 1 1
-8.5814 -6.2385 0 -1.5998 2.1779 696.29 0 2212 105 1 1 1
9.9355 0.03 0 2.8875 0 696.29 0 2212 106 1 1 1
8.684 2.1646 0 2.8771 -0.43558 696.29 0 2212 107 1 1 1
-1.9167 -5.6825 0 -1.6756 1.1616 696.29 0 2212 108 1 1 1
0.25818 -3.4836 0 -1.8541 0.43558 696.29 0 2212 109 1 1 1
-4.6988 -4.3445 0 -0.29922 1.4519 696.3 0 2212 110 1 1 1
-5.1502 -5.0475 0 -0.63656 1.7423 696.29 0 2212 111 1 1 1
-10.019 -2.6043 0 -3.1531 1.0164 696.28 0 2212 112 1 1 1
13.524 -3.2678 0 0.095261 -0.72597 696.3 0 2212 113 1 1 1
9.5885 7.3157 0 3.236 -1.3067 696.28 0 2212 114 1 1 1
18.817 -5.4624 0 4.7651 -1.0164 696.26 0 2212 115 1 1 1
-8.225 3.0987 0 -1.5049 -1.1616 696.29 0 2212 116 1 1 1
-11.408 -4.5598 0 -2.4395 1.8875 696.29 0 2212 117 1 1 1
1.9468 -0.7777 0 1.0606 0.29038 696.3 0 2212 118 1 1 1
18.273 1.49 0 4.1402 0.29038 696.27 0 2212 119 1 1 1
-4.5977 -2.7848 0 -2.0544 0.72597 696.29 0 2212 120 1 1 1
-1.4875 2.2125 0 -2.0391 -0.43558 696.29 0 2212 121 1 1 1
11.797 -1.4256 0 3.7021 0.29038 696.28 0 2212 122 1 1 1
0.29757 -2.1718 0 1.0778 0.58078 696.3 0 2212 123 1 1 1
1.6786 1.1757 0 1.6339 -0.29038 696.3 0 2212 124 1 1 1
6.6243 5.6177 0 2.5649 -1.1616 696.29 0 2212 125 1 1 1
-11.546 4.9986 0 -2.3027 -2.1779 696.29 0 2212 126 1 1 1
-6.8195 1.3613 0 -1.1003 -0.43558 696.3 0 2212 127 1 1 1
-3.3543 1.7261 0 -2.1655 -0.29038 696.29 0 2212 128 1 1 1
11.334 1.4456 0 0.054806 0.14519 696.3 0 2212 129 1 1 1
-1.741 -5.7811 0 0.16506 1.8875 696.29 0 2212 130 1 1 1
-11.178 5.8556 0 -2.1848 -2.3231 696.28 0 2212 131 1 1 1
-5.5405 -0.53 0 -1.0698 0.14519 696.3 0 2212 132 1 1 1
9.5622 -4.7261 0 3.1977 0.87116 696.28 0 2212 133 1 1 1
-11.478 -3.0413 0 -3.1179 1.1616 696.28 0 2212 134 1 1 1
-10.111 -5.4439 0 -1.7774 2.0327 696.29 0 2212 135 1 1 1
18.266 6.0828 0 4.221 1.1616 696.27 0 2212 136 1 1 1
-10.579 -0.71863 0 -3.6374 0.29038 696.28 0 2212 137 1 1 1
-10.164 -5.8893 0 -2.6893 2.0327 696.28 0 2212 138 1 1 1
-9.9989 -1.8432 0 -1.9764 0.58078 696.29 0 2212 139 1 1 1
-10.216 -0.03 0 -3.5975 0 696.28 0 2212 140 1 1 1
-3.103 4.4287 0 0.066142 -1.4519 696.3 0 2212 141 1 1 1
4.2642 -2.1928 0 1.434 0.43558 696.3 0 2212 142 1 1 1
-3.9053 4.1863 0 -2.1613 -0.87116 696.29 0 2212 143 1 1 1
-10.609 -3.4386 0 -2.441 1.1616 696.29 0 2212 144 1 1 1
-0.60591 0.64 0 -1.2851 0 696.3 0 2212 145 1 1 1
-11.829 -4.4562 0 -2.6006 1.8875 696.28 0 2212 146 1 1 1
-9.9947 3.581 0 -2.0044 -1.1616 696.29 0 2212 147 1 1 1
-7.6243 5.0286 0 -2.6549 -1.5971 696.29 0 2212 148 1 1 1
16.61 -3.718 0 4.248 -0.43558 696.27 0 2212 149 1 1 1
-4.8019 -7.2287 0 -0.32763 2.4683 696.29 0 2212 150 1 1 1
-3.4882 0.49 0 -2.3162 -0.14519 696.29 0 2212 151 1 1 1
-6.335 -3.2378 0 -2.2154 0.87116 696.29 0 2212 152 1 1 1
3.2386 -1.19 0 1.2041 0.29038 696.3 0 2212 153 1 1 1
-11.022 1.1794 0 -2.3097 -0.43558 696.29 0 2212 154 1 1 1
